pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,0,0,0,0,19,3,79,3,,,,,191.34963070799995,192.3444629579999,192.3444629579999,192.3444629579999,192.3444629579999,192.3444629579999,193.3414640410001,193.3414640410001,z,1,0.27972854199970243,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,20,0,80,0,,,,,193.63345212500008,194.62737570800027,194.62737570800027,194.62737570800027,194.62737570800027,194.62737570800027,195.625224291,195.625224291,x,1,0.34696154199991724,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,20,1,81,1,,,,,195.98359062500003,196.9780487500002,196.9780487500002,196.9780487500002,196.9780487500002,196.9780487500002,197.97508179099987,197.97508179099987,v,1,0.23175716700006888,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,20,2,82,2,,,,,198.21699949999993,199.21088754099992,199.21088754099992,199.21088754099992,199.21088754099992,199.21088754099992,200.20033683300016,200.20033683300016,c,1,0.25927454199973,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,20,3,83,3,,,,,200.47545287499997,201.46252675000005,201.46252675000005,201.46252675000005,201.46252675000005,201.4720002500003,202.4670835830002,202.4670835830002,z,1,0.24359812500006228,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,21,0,84,0,,,,,202.7259693330002,203.71235720799996,203.71235720799996,203.71235720799996,203.71235720799996,203.72185600000012,204.71720725000023,204.71720725000023,x,1,0.2377766250001514,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,21,1,85,1,,,,,204.96646408300012,205.9613052499999,205.9613052499999,205.9613052499999,205.9613052499999,205.9613052499999,206.9587112500003,206.9587112500003,v,1,0.2221694589998151,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,21,2,86,2,,,,,207.1915170000002,208.17933083300022,208.17933083300022,208.17933083300022,208.17933083300022,208.18840154100008,209.18299512500016,209.18299512500016,c,1,0.23188700099990456,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,21,3,87,3,,,,,209.42568500000016,210.41222900000002,210.41222900000002,210.41222900000002,210.41222900000002,210.42102225000008,211.41744599999993,211.41744599999993,z,1,0.1977807089997441,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,22,0,88,0,,,,,211.62502799999993,212.6123197080001,212.6123197080001,212.6123197080001,212.6123197080001,212.62177650000012,213.609170833,213.609170833,x,1,0.19345404199975746,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
